r;rid;node1;node2;type;w
r;4693688;98919;137333;777;10
r;4693693;98919;142791;777;10
r;4693694;98919;86756;777;10
r;4693701;98919;13001;777;10
r;4693704;98919;26486;777;10
r;4693706;98919;114090;777;10
r;4693708;98919;12153;777;10
r;4693711;98919;96781;777;10
r;4693713;98919;31388;777;10
r;4693715;98919;234742;777;10
r;4693720;98919;65012;777;10
r;4693723;98919;25019;777;10
r;4693726;98919;128439;777;10
r;4693729;98919;135544;777;10
r;4693733;98919;143050;777;10
r;4693734;98919;32303;777;10
r;4693738;98919;43978;777;10
r;4693741;98919;139769;777;10
r;4693744;98919;3413;777;10
r;4693748;98919;12684;777;10
r;4693754;98919;14961;777;10
r;4693758;98919;214288;777;10
r;4693759;98919;17929;777;10
r;4693763;98919;172942;777;10
r;4693765;98919;44092;777;10
r;4693768;98919;21805;777;10
r;4693771;98919;172937;777;10
r;4693774;98919;26259;777;10
r;4693777;98919;23326;777;10
r;4693780;98919;216371;777;10
r;4693783;98919;183412;777;10
r;4693784;98919;173326;777;10
r;4693788;98919;10453;777;10
r;4693790;98919;11176;777;10
r;4693795;98919;93920;777;10
r;4693798;98919;38599;777;10
r;4693801;98919;117584;777;10
r;4693804;98919;4521;777;10
r;4693807;98919;159216;777;10
r;4693810;98919;22047;777;10
r;4693813;98919;42178;777;10
r;4693816;98919;251460;777;10
r;4693819;98919;173312;777;10
r;4693821;98919;139779;777;10
r;4693824;98919;72257;777;10
r;4693833;98919;71038;777;10
r;4693836;98919;175781;777;10
r;4693839;98919;175783;777;10
r;4693843;98919;175782;777;10
r;4693855;98919;86561;777;10
r;4693862;98919;143294;777;10
r;4693866;98919;5079;777;10
r;4693871;98919;151906;777;10
r;4693872;98919;43286;777;10
r;4693876;98919;122865;777;10
r;4693879;98919;70631;777;10
r;4693881;98919;51617;777;10
r;4693885;98919;33187;777;10
r;4693889;98919;16403;777;10
r;4693893;98919;34873;777;10
r;4693897;98919;148387;777;10
r;4693900;98919;129938;777;10
r;4693903;98919;39009;777;10
r;4693906;98919;36548;777;10
r;4693909;98919;114904;777;10
r;4693914;98919;144475;777;10
r;4693915;98919;104194;777;10
r;4693919;98919;107156;777;10
r;4693922;98919;7734;777;10
r;4693925;98919;73643;777;10
r;4693936;98919;104448;777;10
r;4693940;98919;82518;777;10
r;4693943;98919;278815;777;10
r;4693949;98919;41988;777;10
r;4693951;98919;141205;777;10
r;4693952;98919;108750;777;10
r;4693956;98919;13035;777;10
r;4693960;98919;60240;777;10
r;4693964;98919;271520;777;10
r;4693967;98919;136161;777;10
r;4693974;98919;279463;777;10
r;4693975;98919;93408;777;10
r;4693984;98919;76271;777;10
r;4693985;98919;104460;777;10
r;4693993;98919;140801;777;10
r;4693994;98919;49293;777;10
r;4693999;98919;223936;777;10
r;4694002;98919;164433;777;10
r;4694005;98919;39031;777;10
r;4694008;98919;209779;777;10
r;4694011;98919;156718;777;10
r;4694014;98919;95422;777;10
r;4694017;98919;106562;777;10
r;4694020;98919;64313;777;10
r;4694024;98919;32735;777;10
r;4694028;98919;138208;777;10
r;4694029;98919;159947;777;10
r;7880669;98919;290903;777;10
r;7880673;98919;303889;777;10
r;7880680;98919;295639;777;10
r;7880710;98919;292753;777;10
r;8923914;98919;317329;36;10
r;19284887;98919;414478;777;10
r;19284890;98919;413804;777;10
r;19284893;98919;412258;777;10
r;19284897;98919;391947;777;10
r;19284900;98919;403702;777;10
r;19284903;98919;397096;777;10
r;19284906;98919;431563;777;10
r;19284913;98919;404986;777;10
r;19284916;98919;461126;777;10
r;19284919;98919;432674;777;10
r;19284921;98919;420407;777;10
r;19284923;98919;431266;777;10
r;19284925;98919;411477;777;10
r;19284927;98919;404524;777;10
r;19284930;98919;425696;777;10
r;19284932;98919;6509;777;10
r;19284934;98919;415095;777;10
r;19284935;98919;65905;777;10
r;30224088;98919;1804269;777;10
r;76589294;98919;2591262;777;10
r;76589307;98919;2225366;777;10
r;76589315;98919;2258890;777;10
r;76589320;98919;2258234;777;10
r;76589326;98919;2009344;777;10
r;76589331;98919;2059236;777;10
r;87263494;98919;3376825;777;10
r;114604595;98919;5635248;777;10
r;114604623;98919;3729841;777;10
r;117009162;98919;5892552;777;10
r;177334475;98919;6797233;9;10
r;190671898;98919;8856497;777;10
r;211508044;98919;9249182;140;10
r;254888419;98919;9657195;777;10
r;254888422;98919;10327242;777;10
r;254888427;98919;3439290;777;10
r;254888428;98919;78463;777;10
r;254888431;98919;10352817;777;10
r;282766966;98919;5634271;777;10
r;282766967;98919;60259;777;10
r;282766969;98919;1921;777;10
r;282766972;98919;10351231;777;10
r;305881611;98919;11539497;777;10
r;312443709;98919;414558;777;10
r;312443711;98919;277984;777;10
r;312443714;98919;80438;777;10
r;312443716;98919;138784;777;10
r;325319919;98919;87987;777;10
r;325319921;98919;68081;777;10
r;325319924;98919;12694636;777;10
r;367488259;98919;121594;777;10
r;367488257;98919;6398621;777;10
r;367488254;98919;5570355;777;10
r;371062258;98919;14600594;140;10
r;371062647;98919;14600691;140;10
r;461420016;98919;17050405;777;10
r;461420020;98919;17051775;777;10
r;409640069;98919;14909310;777;10
r;409640074;98919;106508;777;10
r;413693978;98919;15080161;10;10
r;413856929;98919;14917526;9;10
r;420450435;98919;16113022;140;10
r;440859374;98919;16089120;777;10
r;440859382;98919;16084372;777;10
r;474009491;98919;242310;0;10
r;474009492;98919;1395235;6;10
r;10536622;98919;36886;0;11
r;10555635;98919;120157;0;11
r;19283801;98919;678041;128;11
r;19283806;98919;678042;128;11
r;19283810;98919;678043;128;11
r;19283822;98919;678046;128;11
r;19283826;98919;678047;128;11
r;19283830;98919;678048;128;11
r;19283834;98919;678049;128;11
r;19283838;98919;678050;128;11
r;19283842;98919;678051;128;11
r;19283846;98919;678052;128;11
r;19283850;98919;678053;128;11
r;19283854;98919;678054;128;11
r;19283858;98919;678055;128;11
r;19283862;98919;678056;128;11
r;19283894;98919;678064;128;11
r;19283902;98919;678066;128;11
r;19283914;98919;678069;128;11
r;19283942;98919;678076;128;11
r;19283946;98919;678077;128;11
r;19283958;98919;678080;128;11
r;19283978;98919;678085;128;11
r;19283994;98919;678089;128;11
r;19283998;98919;678090;128;11
r;19284022;98919;678096;128;11
r;19284026;98919;678097;128;11
r;19284030;98919;678098;128;11
r;19284034;98919;678099;128;11
r;19284038;98919;678100;128;11
r;19284046;98919;678102;128;11
r;19284050;98919;678103;128;11
r;19284054;98919;678104;128;11
r;19284058;98919;678105;128;11
r;19284062;98919;678106;128;11
r;19284066;98919;678107;128;11
r;19284070;98919;678108;128;11
r;19284074;98919;678109;128;11
r;19284078;98919;678110;128;11
r;19284082;98919;678111;128;11
r;19284086;98919;678112;128;11
r;19284090;98919;678113;128;11
r;19284094;98919;678114;128;11
r;19284098;98919;678115;128;11
r;19284102;98919;678116;128;11
r;19284106;98919;678117;128;11
r;19284110;98919;678118;128;11
r;19284114;98919;678119;128;11
r;19284118;98919;678120;128;11
r;19284122;98919;678121;128;11
r;19284126;98919;678122;128;11
r;19284130;98919;678123;128;11
r;19284134;98919;678124;128;11
r;19284138;98919;678125;128;11
r;19284142;98919;678126;128;11
r;19284146;98919;678127;128;11
r;19284150;98919;678128;128;11
r;19284154;98919;678129;128;11
r;19284158;98919;678130;128;11
r;19284162;98919;678131;128;11
r;19284166;98919;678132;128;11
r;19284170;98919;678133;128;11
r;19284174;98919;678134;128;11
r;19284178;98919;678135;128;11
r;19284182;98919;678136;128;11
r;19284190;98919;678138;128;11
r;19284194;98919;678139;128;11
r;19284198;98919;678140;128;11
r;19284202;98919;678141;128;11
r;19284206;98919;678142;128;11
r;19284210;98919;678143;128;11
r;19284218;98919;678145;128;11
r;19284222;98919;678146;128;11
r;19284226;98919;678147;128;11
r;19284230;98919;678148;128;11
r;19284234;98919;678149;128;11
r;19284238;98919;678150;128;11
r;19284246;98919;678152;128;11
r;19284250;98919;678153;128;11
r;19284254;98919;678154;128;11
r;19284258;98919;678155;128;11
r;19284262;98919;678156;128;11
r;19284266;98919;678157;128;11
r;19284274;98919;678159;128;11
r;19284278;98919;678160;128;11
r;19284282;98919;678161;128;11
r;19284286;98919;678162;128;11
r;19284290;98919;678163;128;11
r;19284294;98919;678164;128;11
r;19284298;98919;678165;128;11
r;19284302;98919;678166;128;11
r;19284306;98919;678167;128;11
r;19284314;98919;678169;128;11
r;19284318;98919;678170;128;11
r;19284322;98919;678171;128;11
r;19284326;98919;678172;128;11
r;19284330;98919;678173;128;11
r;19284334;98919;678174;128;11
r;19284338;98919;678175;128;11
r;19284342;98919;678176;128;11
r;19284346;98919;678177;128;11
r;19284350;98919;678178;128;11
r;19284354;98919;678179;128;11
r;19284358;98919;678180;128;11
r;19284362;98919;678181;128;11
r;19284366;98919;678182;128;11
r;19284370;98919;678183;128;11
r;19284374;98919;678184;128;11
r;19284378;98919;678185;128;11
r;19284382;98919;678186;128;11
r;19284386;98919;678187;128;11
r;19284390;98919;678188;128;11
r;19284394;98919;678189;128;11
r;19284402;98919;678191;128;11
r;19284406;98919;678192;128;11
r;19284410;98919;678193;128;11
r;19284414;98919;678194;128;11
r;19284418;98919;678195;128;11
r;19284422;98919;678196;128;11
r;19284426;98919;678197;128;11
r;19284430;98919;678198;128;11
r;19284434;98919;678199;128;11
r;19284438;98919;678200;128;11
r;19284442;98919;678201;128;11
r;19284446;98919;678202;128;11
r;19284450;98919;678203;128;11
r;19284454;98919;678204;128;11
r;19284458;98919;678205;128;11
r;19284462;98919;678206;128;11
r;19284466;98919;678207;128;11
r;19284470;98919;678208;128;11
r;19284474;98919;678209;128;11
r;19284478;98919;678210;128;11
r;19284482;98919;678211;128;11
r;19284486;98919;678212;128;11
r;19284490;98919;678213;128;11
r;19284494;98919;678214;128;11
r;19284498;98919;678215;128;11
r;19284502;98919;678216;128;11
r;19284506;98919;678217;128;11
r;19284510;98919;678218;128;11
r;19284514;98919;678219;128;11
r;19284518;98919;678220;128;11
r;19284522;98919;678221;128;11
r;19284526;98919;678222;128;11
r;19284530;98919;678223;128;11
r;19284534;98919;678224;128;11
r;19284538;98919;678225;128;11
r;19284542;98919;678226;128;11
r;19284546;98919;678227;128;11
r;19284550;98919;678228;128;11
r;19284554;98919;678229;128;11
r;19284558;98919;678230;128;11
r;19284562;98919;678231;128;11
