r;rid;node1;node2;type;w
r;97414624;26062;32249;10;34
r;273830397;26062;32312;777;10
r;333928490;26062;32653;0;15
r;59891704;26062;32653;10;28
r;14621829;26062;33024;10;32
r;62320806;26062;33158;0;26
r;61945694;26062;33158;10;40
r;273830352;26062;33878;777;10
r;1281593;26062;34025;0;30
r;12780654;26062;34052;10;17
r;273830380;26062;34273;777;10
r;62013146;26062;34351;0;21
r;61436295;26062;34351;10;41
r;62319282;26062;34370;0;29
r;61948319;26062;34370;10;40
r;9990329;26062;34624;10;24
r;273830375;26062;34713;777;10
r;60112276;26062;35370;10;14
r;125642411;26062;35658;10;31
r;114142822;26062;35909;10;6
r;99351389;26062;36047;0;4
r;98753097;26062;36047;10;28
r;417993639;26062;36071;3;25
r;195281591;26062;36470;10;27
r;59891736;26062;36571;10;16
r;1602419;26062;36686;42;70
r;231722896;26062;37050;777;10
r;366727345;26062;37229;30;25
r;28343330;26062;37298;32;62
r;14621464;26062;37384;10;29
r;10011523;26062;37396;10;19
r;1602417;26062;37408;42;70
r;98628540;26062;37473;0;18
r;97752475;26062;37473;10;35
r;30513723;26062;37889;10;36
r;116307;26062;37993;0;115
r;130359;26062;37993;9;109
r;144037;26062;37993;21;70
r;60112286;26062;38306;10;14
r;31334092;26062;38344;0;37
r;31297487;26062;38344;3;35
r;192631793;26062;38450;10;30
r;14621351;26062;38523;10;34
r;109170540;26062;38623;10;4
r;4433728;26062;38768;777;10
r;59891772;26062;39340;10;16
r;449503965;26062;39665;10;17
r;60525576;26062;39729;0;28
r;59891738;26062;39729;10;15
r;425536680;26062;39739;10;25
r;2478600;26062;40238;0;81
r;356861;26062;40238;11;249
r;273830405;26062;40292;777;10
r;14621887;26062;40654;10;7
r;114140450;26062;40727;10;27
r;60409755;26062;40755;10;30
r;14621454;26062;41551;10;34
r;215842616;26062;41556;10;30
r;88112399;26062;41585;777;10
r;14621448;26062;41734;10;32
r;273830429;26062;41817;777;10
r;3204315;26062;41913;42;5
r;110959124;26062;42428;10;8
r;95906891;26062;42594;10;4
r;14621375;26062;42848;10;39
r;219482368;26062;43329;10;1
r;452698;26062;43339;0;26
r;59891800;26062;43555;10;16
r;219482420;26062;43873;10;16
r;425536679;26062;43970;10;25
r;14622010;26062;44104;10;7
r;269774658;26062;44175;10;7
r;273830441;26062;44407;777;10
r;2058061;26062;44427;28;54
r;231722917;26062;44427;777;10
r;60559959;26062;44704;0;28
r;60112310;26062;44704;10;16
r;60112292;26062;44824;10;41
r;10013843;26062;44929;10;14
r;366726256;26062;45019;30;26
r;9354704;26062;45131;0;124
r;569530;26062;45131;5;182
r;3182824;26062;45131;28;54
r;1628322;26062;45131;35;120
r;1817868;26062;45131;42;70
r;784805;26062;45179;0;22
r;12159818;26062;45179;5;94
r;5118342;26062;45279;777;10
r;375972598;26062;45292;28;25
r;425824646;26062;45327;10;25
r;54629736;26062;45545;0;27
r;54618328;26062;45545;5;51
r;2202242;26062;45711;25;5
r;14621906;26062;45899;10;7
r;273830431;26062;46228;777;10
r;273830387;26062;46425;777;10
r;373114912;26062;46439;17;36
r;14621359;26062;46541;10;29
r;219482367;26062;46671;10;1
r;4433707;26062;46728;777;10
r;333952535;26062;46742;0;10
r;231722871;26062;47004;777;10
r;83010540;26062;47162;10;27
r;54629724;26062;47248;0;27
r;54618321;26062;47248;5;62
r;14621849;26062;47434;10;31
