r;23933784;95038;239128;0;1000000
r;74023163;95038;2983124;555;2140
r;9127432;95038;223173;36;340
r;8664305;95038;197989;11;165
r;8645546;95038;185848;11;164
r;2020966;95038;241794;36;154
r;364193098;95038;14304605;1;129
r;11860001;95038;124899;11;122
r;12701595;95038;350421;11;107
r;364096305;95038;54956;35;100
r;11593030;95038;329021;29;100
r;11593029;95038;224103;29;100
r;11592374;95038;328985;29;100
r;11592373;95038;222339;29;100
r;238267;95038;56608;14;100
r;238265;95038;142787;14;100
r;238266;95038;37993;14;90
r;79871;95038;54956;0;85
r;54629054;95038;14116;5;83
r;635678;95038;107098;5;76
r;79873;95038;75170;0;74
r;7007;95038;146882;4;72
r;54597362;95038;95915;5;68
r;364193091;95038;14304603;1;65
r;364096306;95038;126009;35;65
r;54751902;95038;146272;5;65
r;55061590;95038;102902;5;64
r;9140889;95038;254876;36;64
r;635677;95038;128674;5;64
r;79875;95038;58573;0;64
r;54751903;95038;82113;5;63
r;1395323;95038;171870;4;60
r;291427;95038;95038;19;60
r;253630;95038;54770;14;60
r;238264;95038;2026;14;59
r;84076;95038;78345;0;59
r;53763283;95038;42663;5;58
r;52475065;95038;2502934;11;58
r;11643016;95038;329021;0;58
r;12089991;95038;212235;4;57
r;1059837;95038;63278;39;57
r;59243782;95038;43447;5;56
r;84077;95038;20346;0;56
r;79872;95038;66970;0;56
r;364193147;95038;14304609;1;55
r;364096302;95038;23919;35;55
r;54934446;95038;19017;5;55
r;394522829;95038;7010755;333;54
r;394522827;95038;14955261;333;54
r;55039192;95038;2594513;11;54
r;54751901;95038;2585996;36;53
r;11642980;95038;328985;0;53
r;74642;95038;151865;18;53
r;7006;95038;146885;4;53
r;394535749;95038;14930634;333;52
r;53729399;95038;89502;5;52
r;18483647;95038;438949;36;52
r;11476136;95038;169483;0;51
r;238262;95038;112587;14;51
r;76317;95038;151866;18;51
r;423699713;95038;16165243;11;50
r;419740923;95038;16042446;11;50
r;33486911;95038;28453;32;48
r;87248328;95038;1819070;161;47
r;635676;95038;126009;5;47
r;364423834;95038;75511;0;46
r;59513614;95038;18995;5;46
r;278795960;95038;11010535;11;45
r;118545103;95038;5996111;11;45
r;54168736;95038;2586629;4;45
r;54130139;95038;2586627;4;45
r;278796350;95038;11010580;11;44
r;87248326;95038;54403;161;44
r;68543797;95038;2434511;5;44
r;61639357;95038;43729;0;44
r;87248329;95038;415109;161;43
r;53723603;95038;5435;5;43
r;54313727;95038;23919;0;42
r;635675;95038;67365;5;42
r;364423833;95038;212180;0;41
r;90863222;95038;3576104;18;41
r;87248327;95038;13401;161;41
r;62131314;95038;49615;0;41
r;62091784;95038;49615;3;41
r;53732987;95038;23919;5;41
r;473207982;95038;15424714;11;40
r;79195044;95038;19017;0;40
r;61632535;95038;43729;3;40
r;60377709;95038;172435;18;40
r;59517832;95038;14936;5;40
r;52635645;95038;2578964;18;40
r;52632210;95038;214534;36;40
r;30942383;95038;73685;3;40
r;18483648;95038;588896;2;40
r;18483645;95038;588895;2;40
r;15370900;95038;16033;0;40
r;11973682;95038;63278;0;40
r;1290676;95038;73685;0;40
r;505292;95038;16033;3;40
r;82481055;95038;119200;6;39
r;79543289;95038;14936;0;39
r;12281369;95038;126009;0;38
r;475300513;95038;2949007;18;36
r;390172024;95038;14930313;333;36
r;390172005;95038;14917186;333;36
r;26424321;95038;223172;36;36
r;395554235;95038;14918582;333;35
r;364193164;95038;14304611;1;35
r;364193163;95038;54126;35;35
r;364193105;95038;14304606;1;35
r;364193102;95038;14936;35;35
r;15362642;95038;56865;0;35
r;1851461;95038;181833;5;35
r;518517;95038;56865;3;35
r;461828;95038;54956;3;35
r;419809712;95038;15261064;11;33
r;394535766;95038;14945387;333;33
r;394535764;95038;15047624;333;33
r;12281370;95038;67365;0;33
r;54313849;95038;64143;0;32
r;33801914;95038;14330;32;32
r;33801913;95038;91691;32;32
r;425870400;95038;16237872;333;31
r;425870397;95038;15744021;333;31
r;425870395;95038;15744022;333;31
r;78063210;95038;3228593;444;31
r;33147574;95038;103405;32;31
r;12281367;95038;107098;0;31
r;457360951;95038;17663;14;30
r;432951428;95038;15212400;14;30
r;431490030;95038;251172;14;30
r;419872581;95038;262265;14;30
r;413306174;95038;15066796;14;30
r;413306149;95038;15482872;14;30
r;413306143;95038;15482873;14;30
r;411587747;95038;203120;14;30
r;402033704;95038;14925797;14;30
r;402033689;95038;15071382;14;30
r;402033672;95038;14925224;14;30
r;364423877;95038;31618;13;30
r;364196070;95038;14304661;13;30
r;364196042;95038;14304669;13;30
r;256978386;95038;9967213;14;30
r;213746746;95038;7262873;14;30
r;92952163;95038;3724130;444;30
r;82013716;95038;5914;13;30
r;77299280;95038;13401;77;30
r;54317605;95038;5435;0;30
r;53732849;95038;64143;5;30
r;15081955;95038;153506;14;30
r;15020304;95038;145246;13;30
r;12365546;95038;186288;0;30
r;1290677;95038;145817;0;30
r;1290675;95038;132952;0;30
r;1290674;95038;12105;0;30
r;1290673;95038;155857;0;30
r;815664;95038;42663;0;30
r;815663;95038;89502;0;30
r;210690854;95038;6958597;5;29
r;105038783;95038;5046151;18;29
r;15676370;95038;58573;3;29
r;2387309;95038;254877;36;29
r;815672;95038;106862;0;29
r;815671;95038;74163;0;29
r;815670;95038;102902;0;29
r;395554232;95038;15463266;333;28
r;395554229;95038;14922691;333;28
r;311265383;95038;598134;0;28
r;211464188;95038;6958597;0;28
r;92952162;95038;3724129;444;28
r;90000163;95038;3575927;18;28
r;369888287;95038;276096;36;28
r;364423897;95038;160194;13;27
r;311265361;95038;1783501;0;27
r;311265360;95038;1783500;0;27
r;99410543;95038;1856873;0;27
r;59803319;95038;43447;0;27
r;12186727;95038;181833;0;27
r;12164702;95038;186288;5;27
r;815666;95038;14116;0;27
r;815665;95038;95915;0;27
r;418029251;95038;124771;0;26
r;418029248;95038;134536;0;26
r;390937313;95038;14917186;0;26
r;371745128;95038;14635397;11;26
r;371745117;95038;14635396;11;26
r;371745079;95038;14635393;11;26
r;368591066;95038;14530040;11;26
r;364367637;95038;51589;0;26
r;364193094;95038;217817;36;26
r;85735543;95038;2160318;79;26
r;815668;95038;128209;0;26
r;435624676;95038;15744022;0;25
r;435624674;95038;15744021;0;25
r;435624672;95038;16237872;0;25
r;418029252;95038;140318;0;25
r;418029247;95038;134536;3;25
r;418029246;95038;15991432;36;25
r;416081696;95038;14930313;0;25
r;415762075;95038;14955261;0;25
r;415762073;95038;7010755;0;25
r;415756253;95038;14930634;0;25
r;415756245;95038;15047624;0;25
r;415756243;95038;14945387;0;25
r;415409168;95038;14922691;0;25
r;415409166;95038;15463266;0;25
r;415409164;95038;14918582;0;25
r;391912047;95038;12566931;3;25
r;390937314;95038;14917186;5;25
r;390172011;95038;14916413;18;25
r;390033771;95038;14917186;72;25
r;390033770;95038;7332979;18;25
r;385244840;95038;6801604;3;25
r;376196831;95038;142787;16;25
r;376189753;95038;234396;16;25
r;376067761;95038;142787;31;25
r;364423872;95038;14624;42;25
